type,data,info
url_path,/dash/highvalue/read,Kali365 API call to POST request for Mark items read (body: ids[])
url_path,/dash/highvalue/dismiss,Kali365 API call to POST request for Dismiss items (body: ids[])
url_path,/dash/cloudflare/status,Kali365 API call to GET request for Linked CF account status
url_path,/dash/cloudflare/link,Kali365 API call to POST request for Link Cloudflare account
url_path,/dash/cloudflare/unlink,Kali365 API call to POST request for Unlink Cloudflare account
url_path,/dash/cloudflare/zones,Kali365 API call to GET request for List zones on linked CF account
url_path,/dash/cloudflare/add-domain,Kali365 API call to POST request for Add domain via linked CF account
url_path,/dash/workflow,Kali365 API call to GET request for Victim pipeline — all tokens with current stage
url_path,/dash/workflow/update,Kali365 API call to POST request for Move token to stage (body: {token_id&#x2c; stage&#x2c; notes})
url_path,/dash/workflow/bulk,Kali365 API call to POST request for Bulk stage update (body: {token_ids[]&#x2c; stage})
url_path,/api/recover-account,Kali365 API call to POST request for OxaPay account recovery (body: {username&#x2c; track_id})
url_path,/api/extend-subscription,Kali365 API call to POST request for OxaPay subscription extension (body: {username&#x2c; track_id})
